"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"75990002672","Farmàcia Orrit Mackenzie","#","Pg","Sant Joan","111","111","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.399805","2.168665","430507.303","4583474.142","430599.236","4583675.09","934578257","Fax","","01/01","31/12","1111100","09:00:00","22:00:00"," ",
"75990002714","Farmàcia Soler Gornals *Pg de Sant Joan","#","Pg","Sant Joan","117","117","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.400278","2.168037","430455.37","4583527.163","430547.302","4583728.111","932080380","Fax","","01/01","31/12","0000000","09:00:00","22:00:00"," ",
"75990002714","Farmàcia Soler Gornals *Pg de Sant Joan","#","Pg","Sant Joan","117","117","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.400278","2.168037","430455.37","4583527.163","430547.302","4583728.111","934576339","#","","01/01","31/12","0000000","09:00:00","22:00:00"," ",
"75990003218","Farmàcia Berge Sahli","#","C","Mare de Déu de Port","255","255","13","la Marina de Port","03","Sants-Montjuïc","08038","019","BARCELONA","41.358896","2.142849","428304.348","4578953.524","428396.262","4579154.429","933311341","Fax","","","","","","","",
"75990003218","Farmàcia Berge Sahli","#","C","Mare de Déu de Port","255","255","13","la Marina de Port","03","Sants-Montjuïc","08038","019","BARCELONA","41.358896","2.142849","428304.348","4578953.524","428396.262","4579154.429","933311341","#","","","","","","","",
"75990012279","Farmàcia Tolosa Gómara","#","C","Acàcies","57","57","62","el Congrés i els Indians","09","Sant Andreu","08027","019","BARCELONA","41.425866","2.178096","431323.143","4586359.932","431415.082","4586560.907","933517709","#","","","","","","","",
"75990012279","Farmàcia Tolosa Gómara","#","C","Acàcies","57","57","62","el Congrés i els Indians","09","Sant Andreu","08027","019","BARCELONA","41.425866","2.178096","431323.143","4586359.932","431415.082","4586560.907","933521403","Fax","","","","","","","",
"75990012638","Farmàcia Ferriol Casar","#","C","Agudes","52","52","55","Ciutat Meridiana","08","Nou Barris","08033","019","BARCELONA","41.461841","2.177557","431316.047","4590354.21","431407.985","4590555.222","932769300","#","","01/01","31/12","0000011","08:00:00","21:00:00"," ",
"75990012638","Farmàcia Ferriol Casar","#","C","Agudes","52","52","55","Ciutat Meridiana","08","Nou Barris","08033","019","BARCELONA","41.461841","2.177557","431316.047","4590354.21","431407.985","4590555.222","932769300","#","","01/01","31/12","1111101","09:00:00","14:00:00"," ",
"75990012730","Farmàcia Guerrero Pozo","#","C","Agustí i Milà","38","38","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.438325","2.187658","432135.081","4587735.597","432227.028","4587936.585","933458141","#","","","","","","","",
"75990012730","Farmàcia Guerrero Pozo","#","C","Agustí i Milà","38","38","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.438325","2.187658","432135.081","4587735.597","432227.028","4587936.585","933458141","Fax","","","","","","","",
"75990012992","Farmàcia Muzas Cucalon","#","C","Alcalde de Móstoles","33","33","33","el Baix Guinardó","07","Horta-Guinardó","08025","019","BARCELONA","41.410898","2.165919","430289.674","4584707.961","430381.604","4584908.92","934553036","#","Telèfon/Fax","","","","","","",
"75990013201","Farmàcia Zalacaín","#","C","Alcúdia","46","46","45","Porta","08","Nou Barris","08016","019","BARCELONA","41.436006","2.174507","431033.966","4587488.498","431125.902","4587689.483","933599147","#","","","","","","","",
"75990013487","Farmàcia Barenys de Lacha","#","Pg","Urrutia","64","64","47","Can Peguera","08","Nou Barris","08031","019","BARCELONA","41.435355","2.167588","430455.228","4587421.771","430547.159","4587622.755","934202342","#","","","","","","","",
"75990013561","Farmàcia Escarrà Caldés","#","C","Alfons XII","61","61","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.399924","2.147961","428776.759","4583504.18","428868.676","4583705.127","932003524","#","","","","","","","",
"75990013626","Farmàcia Pla Pastrana","#","C","Alfons el Magnànim","91","91","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.416667","2.213372","434261.493","4585311.233","434353.46","4585512.199","933051451","#","","","","","","","",
"75990013741","Farmàcia Bainad Caballé","#","C","Alí Bei","38","38","05","el Fort Pienc","02","Eixample","08013","019","BARCELONA","41.393443","2.180843","431518.625","4582758.157","431610.567","4582959.098","932314256","#","","","","","","","",
"75990013741","Farmàcia Bainad Caballé","#","C","Alí Bei","38","38","05","el Fort Pienc","02","Eixample","08013","019","BARCELONA","41.393443","2.180843","431518.625","4582758.157","431610.567","4582959.098","932314256","Fax","","","","","","","",
"75990014009","Farmàcia Garciapons","#","C","Cinca","92","92","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.441691","2.192198","432517.911","4588105.72","432609.861","4588306.711","933454008","#","","","","","","","",
"75990014232","Farmàcia Palma García","#","C","Alzina","44","44","31","la Vila de Gràcia","06","Gràcia","08024","019","BARCELONA","41.407278","2.155737","429434.736","4584314.318","429526.659","4584515.273","932133750","Fax","","","","","","","",
"75990014232","Farmàcia Palma García","#","C","Alzina","44","44","31","la Vila de Gràcia","06","Gràcia","08024","019","BARCELONA","41.407278","2.155737","429434.736","4584314.318","429526.659","4584515.273","932133750","#","","","","","","","",
"75990014312","Farmàcia Najar Marton","#","C","Alt de Pedrell","58","58","36","la Font d'en Fargues","07","Horta-Guinardó","08032","019","BARCELONA","41.426065","2.169113","430572.725","4586389.166","430664.658","4586590.141","934202001","#","","","","","","","",
"75990014736","Farmàcia Viladot Gamissans","#","C","Amigó","30","30","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.394987","2.145092","428531.562","4582958.415","428623.477","4583159.357","932003730","#","","","","","","","",
"75990014819","Farmàcia Fariñas Garcia","#","C","Amigó","70","70","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.39708","2.142399","428308.725","4583193.085","428400.638","4583394.029","932095115","#","","","","","","","",
"75990014819","Farmàcia Fariñas Garcia","#","C","Amigó","70","70","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.39708","2.142399","428308.725","4583193.085","428400.638","4583394.029","932092734","#","","","","","","","",
"75990014864","Farmàcia Dorca","#","C","Amílcar","7","7","44","Vilapicina i la Torre Llobeta","08","Nou Barris","08031","019","BARCELONA","41.429941","2.172053","430822.529","4586817.109","430914.464","4587018.088","933578142","Fax","","","","","","","",
"75990014864","Farmàcia Dorca","#","C","Amílcar","7","7","44","Vilapicina i la Torre Llobeta","08","Nou Barris","08031","019","BARCELONA","41.429941","2.172053","430822.529","4586817.109","430914.464","4587018.088","934291781","#","","","","","","","",
"75990014960","Farmàcia García Barrado","#","C","Amílcar","158","158","35","el Guinardó","07","Horta-Guinardó","08032","019","BARCELONA","41.422234","2.172802","430876.921","4585960.907","430968.856","4586161.878","934365034","Fax","","","","","","","",
"75990014960","Farmàcia García Barrado","#","C","Amílcar","158","158","35","el Guinardó","07","Horta-Guinardó","08032","019","BARCELONA","41.422234","2.172802","430876.921","4585960.907","430968.856","4586161.878","934365034","#","","","","","","","",
"75990015149","Farmàcia Gultresa Colomer","#","C","Andrade","151","151","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.41628","2.201259","433248.77","4585277.616","433340.728","4585478.581","933149760","#","","","","","","","",
"75990015149","Farmàcia Gultresa Colomer","#","C","Andrade","151","151","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.41628","2.201259","433248.77","4585277.616","433340.728","4585478.581","935393306","Fax","","","","","","","",
"75990015191","Farmàcia Cabré Alcoverro","#","C","Andrade","224","226","73","la Verneda i la Pau","10","Sant Martí","08020","019","BARCELONA","41.418986","2.205325","433591.374","4585574.89","433683.335","4585775.858","933138909","#","","","","","","","",
"75990015223","Farmàcia Domenech Perez","#","C","Andrea Doria","14","14","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.380265","2.190496","432311.992","4581287.532","432403.942","4581488.46","932214236","Fax","","","","","","","",
"75990015223","Farmàcia Domenech Perez","#","C","Andrea Doria","14","14","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.380265","2.190496","432311.992","4581287.532","432403.942","4581488.46","932214236","#","","","","","","","",
"75990015319","Farmàcia Rotllan Vilalta","#","C","Àngel Guimerà","14","14","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.39612","2.132937","427516.654","4583094.294","427608.559","4583295.237","932010098","#","","","","","","","",
"75990015337","Farmàcia Esquerrà Amargós","#","C","Àngel Marquès","7","7","40","Montbau","07","Horta-Guinardó","08035","019","BARCELONA","41.429906","2.141962","428308.236","4586837.689","428400.148","4587038.667","934283995","#","","","","","","","",
"75990015337","Farmàcia Esquerrà Amargós","#","C","Àngel Marquès","7","7","40","Montbau","07","Horta-Guinardó","08035","019","BARCELONA","41.429906","2.141962","428308.236","4586837.689","428400.148","4587038.667","934283995","Fax","","","","","","","",
"75990015407","Farmàcia Suñer Lefort","#","Av","República Argentina","175","175","27","el Putxet i el Farró","05","Sarrià-Sant Gervasi","08023","019","BARCELONA","41.411471","2.142613","428342.393","4584790.557","428434.305","4584991.516","932531818","#","","01/01","31/12","0000001","09:00:00","22:00:00"," ",
"75990015407","Farmàcia Suñer Lefort","#","Av","República Argentina","175","175","27","el Putxet i el Farró","05","Sarrià-Sant Gervasi","08023","019","BARCELONA","41.411471","2.142613","428342.393","4584790.557","428434.305","4584991.516","934172669","Fax","","01/01","31/12","0000001","09:00:00","22:00:00"," ",
"75990015613","Farmacia Trias Banyeres Jordi","#","Ptge","Antoni Gassol","22","22","72","Sant Martí de Provençals","10","Sant Martí","08018","019","BARCELONA","41.41317","2.196315","432832.449","4584936.15","432924.403","4585137.112","933075067","Fax","","","","","","","",
"75990015613","Farmacia Trias Banyeres Jordi","#","Ptge","Antoni Gassol","22","22","72","Sant Martí de Provençals","10","Sant Martí","08018","019","BARCELONA","41.41317","2.196315","432832.449","4584936.15","432924.403","4585137.112","933075067","#","","","","","","","",
"75990015697","Farmàcia Brió Guibernau","#","C","Antonio Machado","18","18","49","Canyelles","08","Nou Barris","08042","019","BARCELONA","41.443458","2.168315","430524.635","4588320.729","430616.566","4588521.722","934272495","#","","","","","","","",
"75990015697","Farmàcia Brió Guibernau","#","C","Antonio Machado","18","18","49","Canyelles","08","Nou Barris","08042","019","BARCELONA","41.443458","2.168315","430524.635","4588320.729","430616.566","4588521.722","934270517","Fax","","","","","","","",
"75990015792","Farmàcia Garcia","#","C","Aragó","1","1","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.378341","2.146159","428602.506","4581109.578","428694.422","4581310.503","932296070","#","","01/01","31/12","0000000","00:00:00","23:59:00"," ",
"75990015792","Farmàcia Garcia","#","C","Aragó","1","1","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.378341","2.146159","428602.506","4581109.578","428694.422","4581310.503","932296175","Fax","","01/01","31/12","0000000","00:00:00","23:59:00"," ",
"75990015828","Farmàcia Rasa Valtueña","#","C","Aragó","32","32","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.380777","2.149918","428919.522","4581376.892","429011.441","4581577.82","934232084","Fax","","","","","","","",
"75990015828","Farmàcia Rasa Valtueña","#","C","Aragó","32","32","09","la Nova Esquerra de l'Eixample","02","Eixample","08015","019","BARCELONA","41.380777","2.149918","428919.522","4581376.892","429011.441","4581577.82","934232084","#","","","","","","","",
"75990016213","Farmàcia Castell Forés","#","C","Aragó","207","207","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.388562","2.159804","429754.543","4582233.099","429846.469","4582434.035","934532695","#","","","","","","","",
"75990016765","Farmàcia Martí Mas","#","C","Aragó","395","395","05","el Fort Pienc","02","Eixample","08013","019","BARCELONA","41.399546","2.174406","430986.967","4583440.795","431078.904","4583641.743","934582974","#","","","","","","","",
"75990016765","Farmàcia Martí Mas","#","C","Aragó","395","395","05","el Fort Pienc","02","Eixample","08013","019","BARCELONA","41.399546","2.174406","430986.967","4583440.795","431078.904","4583641.743","934575191","Fax","","","","","","","",
"75990016765","Farmàcia Martí Mas","#","C","Aragó","395","395","05","el Fort Pienc","02","Eixample","08013","019","BARCELONA","41.399546","2.174406","430986.967","4583440.795","431078.904","4583641.743","934586295","#","","","","","","","",
"75990016900","Farmàcia Olivella Comas","#","C","Aragó","476","476","06","la Sagrada Família","02","Eixample","08013","019","BARCELONA","41.403686","2.180378","431490.483","4583895.68","431582.425","4584096.632","932316057","#","","","","","","","",
"75990016900","Farmàcia Olivella Comas","#","C","Aragó","476","476","06","la Sagrada Família","02","Eixample","08013","019","BARCELONA","41.403686","2.180378","431490.483","4583895.68","431582.425","4584096.632","932320304","Fax","","","","","","","",
"75990017007","Farmàcia Mercadé Salavert","#","C","Aragó","592","592","65","el Clot","10","Sant Martí","08026","019","BARCELONA","41.408173","2.1864","431998.585","4584389.084","432090.531","4584590.041","932323908","Fax","","","","","","","",
"75990017007","Farmàcia Mercadé Salavert","#","C","Aragó","592","592","65","el Clot","10","Sant Martí","08026","019","BARCELONA","41.408173","2.1864","431998.585","4584389.084","432090.531","4584590.041","932323908","#","","","","","","","",
"75990017099","Farmàcia Puga Gasull","#","C","Sant Ramon de Penyafort","3","3","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.41374","2.220458","434850.788","4584980.987","434942.76","4585181.95","933580900","Fax","","","","","","","",
"75990017099","Farmàcia Puga Gasull","#","C","Sant Ramon de Penyafort","3","3","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.41374","2.220458","434850.788","4584980.987","434942.76","4585181.95","933580900","#","","","","","","","",
"75990017227","Farmàcia Carbó Pallarés","#","C","Arenys","25","25","38","la Teixonera","07","Horta-Guinardó","08035","019","BARCELONA","41.422057","2.142479","428342.796","4585965.852","428434.708","4586166.822","932112460","#","","","","","","","",
"75990017260","Farmàcia Gardella Roca","#","C","Arenys","108","110","25","Sant Gervasi - la Bonanova","07","Horta-Guinardó","08035","019","BARCELONA","41.423193","2.147084","428728.854","4586088.178","428820.77","4586289.149","934295714","Fax","","","","","","","",
"75990017260","Farmàcia Gardella Roca","#","C","Arenys","108","110","25","Sant Gervasi - la Bonanova","07","Horta-Guinardó","08035","019","BARCELONA","41.423193","2.147084","428728.854","4586088.178","428820.77","4586289.149","934295714","#","","","","","","","",
"75990017391","Farmàcia Lavilla Grifols","#","C","Argullós","49","49","52","la Prosperitat","08","Nou Barris","08016","019","BARCELONA","41.440645","2.182572","431712.621","4587997.076","431804.564","4588198.066","933540304","#","","","","","","","",
"75990017537","Farmàcia  Franquesa Massó","#","C","Aribau","18","18","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.38641","2.162206","429952.995","4581992.321","430044.923","4582193.255","933174684","#","","01/01","31/12","0000000","09:00:00","22:00:00"," ",
"75990017609","Farmàcia Urgelles Fabregas","#","C","Aribau","36","36","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.38726","2.161077","429859.561","4582087.516","429951.488","4582288.451","934523190","#","","01/01","31/12","0000011","09:00:00","21:00:00"," ",
"75990017609","Farmàcia Urgelles Fabregas","#","C","Aribau","36","36","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.38726","2.161077","429859.561","4582087.516","429951.488","4582288.451","934523190","#","","01/01","31/12","1111101","09:00:00","14:00:00"," ",
"75990017682","Farmàcia Torres","#","C","Aribau","62","62","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.388671","2.159209","429704.885","4582245.688","429796.811","4582446.624","934539220","#","","01/01","31/12","0000000","00:00:00","23:59:00"," ",
"75990017682","Farmàcia Torres","#","C","Aribau","62","62","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.388671","2.159209","429704.885","4582245.688","429796.811","4582446.624","934520259","Fax","","01/01","31/12","0000000","00:00:00","23:59:00"," ",
"75990017764","Farmàcia Casaus Domingo","#","C","Aribau","91","91","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.390032","2.157043","429525.285","4582398.549","429617.209","4582599.486","934532990","#","","","","","","","",
"75990017764","Farmàcia Casaus Domingo","#","C","Aribau","91","91","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.390032","2.157043","429525.285","4582398.549","429617.209","4582599.486","934532990","Fax","","","","","","","",
"75990018096","Farmàcia Barri Flotats","#","C","Aribau","180","180","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.393232","2.153181","429205.854","4582756.983","429297.775","4582957.924","932189045","Fax","","","","","","","",
"75990018096","Farmàcia Barri Flotats","#","C","Aribau","180","180","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.393232","2.153181","429205.854","4582756.983","429297.775","4582957.924","932189045","#","","","","","","","",
"75990018096","Farmàcia Barri Flotats","#","C","Aribau","180","180","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.393232","2.153181","429205.854","4582756.983","429297.775","4582957.924","932189586","#","","","","","","","",
"75990018494","Farmàcia Núria Aymerich Bardolet","#","C","Aribau","310","310","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.399093","2.146075","428618.228","4583413.461","428710.143","4583614.408","932007350","#","","","","","","","",
"75990018712","Farmàcia Escribano Pascual","#","C","Harmonia","1","1","40","Montbau","07","Horta-Guinardó","08035","019","BARCELONA","41.432778","2.145252","428586.332","4587153.867","428678.246","4587354.848","934282989","#","","","","","","","",
"75990018732","Farmàcia Aguar Toran","#","C","Harmonia","31","31","40","Montbau","07","Horta-Guinardó","08035","019","BARCELONA","41.433711","2.141631","428284.813","4587260.466","428376.724","4587461.448","934282111","#","","","","","","","",
"75990018732","Farmàcia Aguar Toran","#","C","Harmonia","31","31","40","Montbau","07","Horta-Guinardó","08035","019","BARCELONA","41.433711","2.141631","428284.813","4587260.466","428376.724","4587461.448","934282111","Fax","","","","","","","",
"75990019095","Farmàcia Sykuler","#","C","Artesania","70","70","51","Verdun","08","Nou Barris","08042","019","BARCELONA","41.440657","2.173448","430950.44","4588005.7","431042.376","4588206.69","933596272","Fax","","","","","","","",
"75990019095","Farmàcia Sykuler","#","C","Artesania","70","70","51","Verdun","08","Nou Barris","08042","019","BARCELONA","41.440657","2.173448","430950.44","4588005.7","431042.376","4588206.69","933596272","#","","","","","","","",
"75990019105","Farmàcia Carré","#","C","Artesania","102","102","51","Verdun","08","Nou Barris","08042","019","BARCELONA","41.443095","2.172212","430849.809","4588277.363","430941.744","4588478.355","933500144","#","","","","","","","",
"75990019105","Farmàcia Carré","#","C","Artesania","102","102","51","Verdun","08","Nou Barris","08042","019","BARCELONA","41.443095","2.172212","430849.809","4588277.363","430941.744","4588478.355","933500144","Fax","","","","","","","",
"75990019121","Farmàcia Palomo Peiro","#","C","Artesania","148","148","50","les Roquetes","08","Nou Barris","08042","019","BARCELONA","41.446409","2.171841","430822.268","4588645.588","430914.202","4588846.584","933598024","#","","","","","","","",
"75990019234","Farmàcia Gil - Cortés","#","C","Astúries","54","54","31","la Vila de Gràcia","06","Gràcia","08012","019","BARCELONA","41.404014","2.155426","429405.226","4583952.142","429497.148","4584153.094","932186196","#","","","","","","","",
"75990019778","Farmàcia Haro Martínez","#","Via","Augusta","103","103","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.401092","2.148876","428854.562","4583633.156","428946.479","4583834.105","932178153","#","","","","","","","",
"75990019809","Farmàcia Puso Mazarico","#","Via","Augusta","113","113","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.40076","2.146495","428655.123","4583598.222","428747.039","4583799.17","932097520","#","","","","","","","",
"75990020113","Farmàcia Pallarés Pérez","#","Via","Augusta","189","189","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.397858","2.140638","428162.351","4583280.914","428254.262","4583481.859","932092763","#","","","","","","","",
"75990020218","Farmàcia Casals C.B.","#","Via","Augusta","276","276","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.397962","2.130903","427348.688","4583300.561","427440.592","4583501.506","932039446","Fax","","","","","","","",
"75990020218","Farmàcia Casals C.B.","#","Via","Augusta","276","276","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.397962","2.130903","427348.688","4583300.561","427440.592","4583501.506","932039415","#","","","","","","","",
"75990020551","Farmàcia Aguilar Pérez","#","C","Ausiàs Marc","31","31","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.391304","2.175357","431057.769","4582525.013","431149.707","4582725.952","933021958","#","","","","","","","",
"75990020708","Farmàcia Nebot Salabert","#","C","Ausiàs Marc","93","93","05","el Fort Pienc","02","Eixample","08013","019","BARCELONA","41.395057","2.180376","431481.257","4582937.732","431573.199","4583138.675","932324704","Fax","","","","","","","",
"75990020708","Farmàcia Nebot Salabert","#","C","Ausiàs Marc","93","93","05","el Fort Pienc","02","Eixample","08013","019","BARCELONA","41.395057","2.180376","431481.257","4582937.732","431573.199","4583138.675","935339984","#","","","","","","","",
